Birch_base,DBSCAN_base,Birch_bayes_best,DBSCAN_bayes_best,Passed
2379,1,1694,1,0
2369,4,211,0,1
581,1,4,1,1
1860,7,2274,3,0
1965,2,2270,2,1
2652,3,1023,3,1
117,9,1364,2,1
2479,4,1549,0,1
2549,9,1629,2,1
272,7,1018,3,0
2624,2,947,2,1
1905,7,2593,3,1
163,4,1365,0,0
1964,11,2437,5,0
1968,1,965,1,0
1387,9,1607,2,0
984,7,120,3,1
2435,11,1552,5,0
1873,6,2357,4,0
1049,2,731,2,0
1967,9,2309,2,0
298,3,1230,3,1
1187,1,1906,1,1
1856,3,2517,3,1
2279,3,1716,3,1
1032,9,739,2,1
429,8,1057,4,1
920,4,187,0,1
2241,2,1717,2,0
2160,0,1718,0,1
2585,5,1553,1,1
1861,4,2465,0,0
858,5,212,1,0
1705,9,2108,2,0
108,25,1231,4,0
5,5,1383,1,1
2003,0,1537,0,0
1916,5,2448,1,0
1554,10,2228,5,0
1385,3,1554,3,0
1497,2,450,2,0
1969,8,2503,4,1
2179,3,1803,3,1
1214,2,451,2,1
2400,8,241,4,0
2527,8,1536,4,1
1899,7,2450,3,1
1459,-1,1908,0,0
1641,-1,1909,0,1
106,12,1229,2,0
381,4,1117,0,0
2206,9,1715,2,1
1034,5,614,1,0
331,7,1228,3,0
2436,3,257,3,1
7,4,452,0,0
1862,0,2440,0,0
1040,6,732,4,1
593,4,691,0,1
1759,7,2277,3,1
1755,0,2278,0,1
332,2,1350,2,0
1358,8,2111,4,1
2660,9,1572,2,0
1006,3,525,3,1
235,3,1361,3,0
2162,0,1555,0,1
58,2,1366,2,0
1186,5,615,1,0
1516,0,1910,0,1
2627,8,1058,4,1
1415,0,1718,0,0
2606,8,1569,4,1
1390,6,770,4,0
1228,10,453,5,0
1929,5,1980,1,0
447,7,1113,3,1
1356,2,1837,2,1
324,6,1311,4,1
1359,1,1719,1,1
782,10,5,5,0
1990,8,2438,4,1
553,1,75,1,0
2419,11,248,5,1
745,8,42,4,1
1393,9,2184,2,0
110,3,1367,3,0
69,7,2055,3,1
1672,5,2187,1,1
486,1,912,1,0
268,8,981,4,0
2650,9,983,2,1
1971,9,983,2,0
2121,1,1807,1,1
2531,6,1561,4,0
1972,5,1050,1,1
2093,7,1018,3,1
2588,7,1582,3,0
2331,0,1564,0,1
1,1,1436,1,0
1793,2,2527,2,1
1829,0,2326,0,0
1415,0,2387,0,0
6,2,450,2,1
1904,7,2446,3,0
349,6,908,4,1
110,3,1256,3,0
1781,9,2347,2,0
345,4,1053,0,0
2391,4,1557,0,0
845,11,1633,5,0
1390,6,733,4,1
69,7,1368,3,0
1316,5,2112,1,1
302,6,911,4,0
2590,4,1703,0,0
784,0,284,0,1
481,4,1060,0,0
266,1,912,1,0
870,5,49,1,1
634,9,125,2,1
1523,2,1962,2,1
1229,5,615,1,1
4,4,1365,0,1
1066,9,739,2,1
2163,9,2108,2,1
1919,6,2470,4,0
1310,6,2221,4,1
1031,2,775,2,1
2588,7,1551,3,0
89,2,21,2,1
1389,0,2201,0,0
2161,4,304,0,1
1975,9,2273,2,1
2474,7,1558,3,0
1083,4,1708,0,0
2145,7,285,3,0
1704,4,1940,0,0
2601,5,1601,1,0
2629,2,956,2,0
1996,3,1037,3,0
985,3,734,3,0
1895,3,2264,3,1
1617,9,1903,2,1
873,5,31,1,1
1976,10,2283,5,0
872,0,1052,0,0
2300,8,2375,4,1
69,7,1368,3,1
116,6,1362,4,0
1392,1,2102,1,0
2641,0,1576,0,1
972,9,1062,2,0
2590,4,1676,0,0
2576,6,1533,4,0
2003,0,1537,0,1
1420,4,2005,0,0
1846,8,2284,4,1
260,1,909,1,1
280,3,903,3,1
467,2,1087,2,1
303,7,1011,3,1
2151,1,2152,1,1
2666,2,1055,2,0
325,8,1022,4,0
1731,2,2106,2,0
773,5,320,1,0
2329,2,1559,2,1
2274,9,1722,2,0
1858,8,2268,4,0
2621,7,1616,3,1
694,6,1369,4,0
1385,3,1554,3,1
1047,3,735,3,1
2255,2,1705,2,0
1502,5,443,1,0
2293,7,1795,3,0
543,0,914,0,1
242,1,1360,1,0
2123,1,182,1,0
616,0,89,0,0
498,3,915,3,1
2584,3,1538,3,0
232,6,1494,4,0
1069,8,728,4,0
2299,3,1723,3,0
1787,8,2284,4,0
1842,9,2273,2,0
2631,10,95,5,1
2165,0,1724,0,0
2632,2,1605,2,0
1407,6,1595,4,0
921,2,14,2,1
924,10,1181,5,1
2165,0,1724,0,1
2191,8,1771,4,0
1407,6,1595,4,1
1856,3,2264,3,1
1419,7,2113,3,0
305,5,1004,1,1
1773,3,2604,3,0
1900,3,2452,3,0
986,7,454,3,1
306,-1,917,5,1
2436,3,1613,3,0
80,7,1370,3,1
2248,2,1887,2,0
1976,10,2283,5,1
2192,1,877,1,0
1731,2,2106,2,1
1418,0,830,0,1
1863,2,2451,2,1
281,3,1124,3,0
2331,0,1564,0,1
27,13,1371,1,1
2206,9,1715,2,0
2303,5,1725,1,1
2657,3,1538,3,0
2004,3,1023,3,1
1966,5,2335,1,1
2588,7,1551,3,1
1308,0,2130,0,0
516,10,1048,5,0
868,6,918,4,1
2200,2,1726,2,0
1676,10,1992,5,0
2297,5,1727,1,0
1978,3,2313,3,0
2602,1,990,1,0
1679,2,1913,2,1
2235,3,1711,3,1
860,4,308,0,1
2300,8,1721,4,1
2600,4,1776,0,0
2268,2,1717,2,1
73,8,455,4,0
1713,2,2424,2,0
1843,5,2272,1,1
1853,6,2289,4,0
1980,1,2290,1,0
538,11,1051,5,0
2618,5,2405,1,1
1189,4,726,0,0
215,-1,1372,0,1
302,6,997,4,0
2575,5,2114,1,0
2645,9,919,2,1
307,4,1242,0,1
1389,0,2115,0,0
2165,0,1724,0,1
2562,1,1868,1,1
1895,3,2264,3,0
1396,6,2285,4,1
786,-1,288,3,0
1713,2,2288,2,0
1744,1,2116,1,1
350,0,1063,0,0
957,2,1064,2,1
304,8,913,4,1
1981,0,2387,0,0
1065,2,754,2,1
533,3,1003,3,0
2356,6,1587,4,1
2166,6,340,4,1
1538,11,2051,5,0
2464,3,1729,3,1
1952,6,1335,4,0
543,0,914,0,0
2162,0,367,0,1
258,3,920,3,1
2326,9,1550,2,0
2473,8,402,4,0
1388,6,2118,4,1
1887,2,2270,2,1
1332,6,2117,4,1
554,4,8,0,1
2582,8,2268,4,1
2371,1,277,1,0
2527,8,1536,4,1
375,6,921,4,0
272,7,1018,3,0
2240,8,1721,4,1
2620,0,1537,0,0
962,4,1065,0,1
2126,3,1729,3,0
5,5,1358,1,1
1223,1,773,1,0
3,1,448,1,1
2256,3,1730,3,1
2279,3,1716,3,0
2314,4,1893,0,0
2636,9,1649,2,0
2346,2,1563,2,1
1743,1,2156,1,0
2650,9,983,2,1
1118,6,804,4,0
1867,1,2291,1,1
2194,4,1728,0,0
2125,2,355,2,0
2613,3,1548,3,1
1311,2,2292,2,0
2567,0,1564,0,0
255,5,916,1,1
2160,0,830,0,0
1866,8,2293,4,1
2297,5,1727,1,0
2620,0,1537,0,0
384,2,1079,2,1
1388,6,2118,4,1
614,9,103,2,1
838,5,190,1,1
10,11,456,5,1
1379,1,2119,1,0
2642,7,302,3,1
1410,10,1565,5,1
48,4,1373,0,0
68,2,902,2,1
1977,6,2285,4,0
2148,1,620,1,0
854,7,374,3,0
1495,1,457,1,1
2657,3,1573,3,0
1956,1,2017,1,1
922,1,9,1,1
991,7,811,3,0
305,5,916,1,1
1713,2,2288,2,1
1128,0,850,0,0
1598,8,2111,4,0
555,5,622,1,0
308,1,964,1,1
1416,9,2010,2,1
590,6,289,4,1
890,7,1151,3,1
836,9,193,2,0
2177,4,1733,0,0
900,8,1057,4,0
2642,7,1659,3,0
2594,6,1720,4,0
2119,1,2332,1,0
306,-1,1301,5,0
2595,7,2366,3,0
1729,10,2294,5,1
92,7,1473,3,1
1327,6,1779,4,1
2575,5,1601,1,1
801,0,194,0,1
275,10,1123,5,0
1011,7,11,3,0
82,7,1473,3,0
2492,2,283,2,1
2489,2,195,2,0
1638,4,2120,0,1
2581,1,1532,1,0
1868,8,2438,4,0
2121,1,1807,1,0
2096,3,2308,3,1
319,6,1375,4,0
90,6,60,4,1
309,11,1258,5,0
2125,2,1609,2,0
2282,9,1847,2,0
2052,-1,2592,5,1
879,11,186,5,0
838,5,222,1,0
73,8,455,4,0
2439,6,290,4,0
306,-1,926,5,1
2360,4,1683,0,0
1798,6,2281,4,0
1991,4,2487,0,1
2658,3,920,3,0
843,5,196,1,0
2243,6,1720,4,0
945,6,50,4,0
359,0,1063,0,0
2109,0,2456,0,0
330,7,1232,3,1
1761,4,2189,0,0
1372,8,1712,4,0
2648,6,1595,4,1
1189,4,576,0,1
480,2,910,2,0
253,0,1363,0,0
869,6,60,4,1
1026,4,691,0,1
865,5,906,1,0
809,0,284,0,1
2233,2,1865,2,1
1421,10,513,5,1
304,8,913,4,1
1061,6,718,4,1
1070,2,892,2,1
2333,7,1560,3,0
1301,2,623,2,0
2614,3,1538,3,0
1024,3,602,3,1
698,7,1067,3,0
384,2,1102,2,1
1238,5,585,1,1
1056,4,1708,0,1
2616,7,1551,3,0
2580,1,2386,1,1
95,8,529,4,0
1790,0,2280,0,0
1261,4,458,0,1
2527,8,1599,4,1
1262,2,451,2,1
816,5,291,1,1
2597,1,1736,1,0
1817,3,2295,3,1
775,2,675,2,0
1983,9,1030,2,0
2573,1,1736,1,1
2339,4,1557,0,0
1714,8,2157,4,0
2463,3,1617,3,0
1308,0,2196,0,1
350,0,1416,0,0
2040,2,2458,2,1
386,9,1404,2,1
41,5,1358,1,0
2531,6,1566,4,1
2624,2,947,2,1
1715,3,1737,3,0
534,5,985,1,0
1422,6,459,4,0
260,1,909,1,0
89,2,21,2,0
1203,5,615,1,0
276,1,1094,1,1
1347,6,2242,4,1
517,2,986,2,0
748,3,280,3,0
2574,4,1703,0,0
2438,7,357,3,1
1968,1,965,1,1
1858,8,2268,4,1
1039,7,1915,3,1
373,0,927,0,0
1681,1,2121,1,1
2212,8,817,4,0
2244,9,1742,2,0
1855,11,2435,5,0
1736,2,1717,2,1
321,1,1417,1,0
304,8,928,4,0
77,4,308,0,0
87,4,726,0,0
2598,0,1739,0,0
834,1,150,1,0
2371,1,198,1,1
559,8,173,4,1
1503,1,1914,1,1
1841,6,2297,4,1
2333,7,1588,3,1
1192,11,456,5,1
2624,2,1678,2,0
2127,1,1740,1,1
2195,7,2212,3,1
2027,11,2460,5,1
11,7,460,3,1
1503,1,1914,1,1
2360,4,1557,0,0
919,0,199,0,0
1393,9,1722,2,0
1781,9,2368,2,0
2259,9,1872,2,0
2638,7,1551,3,0
881,7,1059,3,0
12,1,2459,1,1
8,6,467,4,0
55,2,1066,2,0
112,7,1233,3,0
1118,6,804,4,1
2244,9,1742,2,0
1394,4,2110,0,0
2637,2,1580,2,1
1986,4,991,0,0
2178,0,1718,0,1
752,3,24,3,1
1034,5,624,1,1
1391,5,2190,1,0
1603,3,815,3,1
2167,4,416,0,1
909,0,13,0,0
1819,1,2271,1,1
1931,9,2461,2,0
31,5,1927,1,0
1731,2,2106,2,0
1857,7,2323,3,1
1043,8,727,4,1
1868,8,2486,4,1
1895,3,2264,3,1
347,8,905,4,0
1395,3,1917,3,1
2573,1,2287,1,1
1901,0,2589,0,1
2465,1,182,1,0
226,6,1362,4,1
258,3,920,3,0
1727,4,2391,0,1
259,7,929,3,1
1973,7,2298,3,0
1147,14,625,1,1
1120,8,738,4,0
1032,9,694,2,0
1422,-1,459,4,0
952,3,1068,3,0
2643,4,1676,0,0
1862,0,2433,0,1
1965,2,2270,2,1
882,2,14,2,1
351,4,15,0,1
1916,5,2481,1,0
1022,7,454,3,1
2385,4,1683,0,0
2182,0,1823,0,1
1880,1,2459,1,1
1405,3,1376,3,1
2494,4,1549,0,0
1316,5,2112,1,1
2011,4,2462,0,0
2582,8,1536,4,0
354,9,922,2,0
1675,9,1904,2,0
259,7,929,3,1
2299,3,1723,3,0
593,4,3,0,1
2583,2,1674,2,0
748,3,337,3,0
2579,8,1744,4,0
2640,11,1619,5,0
1370,4,1713,0,1
120,2,1419,2,0
2160,0,2165,0,1
853,8,188,4,1
447,7,1113,3,1
2332,9,254,2,0
305,5,916,1,1
2237,7,1714,3,0
1903,4,2463,0,1
267,2,952,2,0
1871,11,2460,5,1
352,0,1070,0,0
2583,2,1743,2,1
2041,4,2464,0,1
523,9,930,2,1
2148,1,620,1,0
1727,4,2316,0,0
430,8,1071,4,0
1010,10,740,5,1
1415,0,1718,0,0
750,3,293,3,1
1193,0,741,0,1
824,4,294,0,0
1362,7,2148,3,1
1894,6,1948,4,1
556,6,16,4,0
999,3,742,3,0
531,0,935,0,0
1423,2,1916,2,1
557,2,17,2,0
272,7,1018,3,0
1312,3,2123,3,0
1962,0,2433,0,0
272,7,923,3,0
293,-1,932,4,0
2335,2,1625,2,1
990,-1,626,2,0
1821,7,2299,3,0
1717,8,2284,4,1
1362,7,2113,3,1
729,9,1072,2,1
1029,9,743,2,1
2249,6,1720,4,1
1299,2,461,2,0
2343,4,295,0,0
2574,4,1703,0,1
2150,1,1719,1,1
1894,6,2070,4,0
1698,3,1917,3,1
2580,1,1532,1,1
2642,7,923,3,1
1889,7,2514,3,1
311,4,1276,0,0
1417,3,1939,3,1
1360,7,2147,3,0
2191,8,1712,4,0
2529,8,241,4,1
670,-1,462,4,1
1230,-1,463,1,1
2573,1,1610,1,1
1867,1,2291,1,1
2012,-1,1235,2,0
2121,1,1807,1,1
1984,10,2455,5,0
69,7,1368,3,0
472,-1,1073,3,0
268,8,934,4,0
1026,4,726,0,1
1871,11,2460,5,0
274,7,1026,3,0
1488,-1,2075,1,1
1974,0,2468,0,0
1985,2,980,2,0
228,9,1377,2,1
59,8,446,4,0
1011,7,722,3,1
530,0,1039,0,0
2151,1,2152,1,1
1186,5,614,1,0
1918,7,1965,3,1
2063,3,2454,3,0
2611,8,1569,4,1
1986,4,2388,0,0
2258,8,1820,4,1
1919,-1,2470,4,0
2641,0,1193,0,1
45,16,1378,5,0
748,3,674,3,1
1263,1,464,1,0
1820,3,2378,3,0
2611,8,1569,4,1
2658,3,1023,3,1
1910,3,2286,3,1
2123,1,182,1,0
1693,3,2122,3,0
2621,7,1560,3,1
2299,3,1723,3,1
477,8,936,4,1
2236,9,1715,2,0
2245,9,2340,2,0
1508,9,1929,2,0
46,2,18,2,0
1849,11,2301,5,0
1674,9,1937,2,0
389,8,19,4,1
1121,1,744,1,1
948,0,213,0,0
2357,0,194,0,0
2280,3,1745,3,0
881,7,78,3,0
1874,7,2277,3,1
1821,7,2299,3,1
2237,7,1714,3,1
227,3,1376,3,1
2360,4,1093,0,0
1264,1,627,1,1
310,6,932,4,0
1066,9,739,2,0
1030,0,822,0,0
2586,0,1570,0,1
99,1,504,1,0
1406,2,731,2,1
1860,7,2274,3,0
2137,5,296,1,0
429,8,1122,4,0
1249,3,523,3,0
499,1,968,1,1
1874,7,2612,3,1
355,6,937,4,0
2599,10,938,5,1
538,11,1568,5,0
1977,6,2471,4,1
2096,3,2454,3,0
1864,9,2447,2,0
559,8,20,4,1
1404,4,1546,0,1
337,0,927,0,0
2146,2,311,2,0
388,-1,137,3,0
1844,2,2302,2,0
2495,5,369,1,1
89,2,562,2,1
2566,6,1561,4,1
883,8,1086,4,1
2440,9,1572,2,0
1834,8,1770,4,1
1314,-1,2125,1,1
2560,6,1566,4,1
98,2,1456,2,0
33,9,466,2,1
1821,7,2299,3,1
2385,4,209,0,0
2422,1,277,1,0
2129,1,772,1,1
1411,0,1660,0,1
358,8,982,4,1
2660,9,1562,2,0
1425,6,1919,4,0
894,7,224,3,0
2173,0,287,0,0
2440,9,350,2,1
2529,8,1542,4,0
2393,0,1564,0,1
522,0,914,0,1
1444,6,571,4,1
68,2,562,2,0
142,9,1340,2,1
450,8,1057,4,0
1416,9,2126,2,0
2185,2,1541,2,0
2120,5,2272,1,1
74,9,466,2,0
845,11,180,5,1
884,9,22,2,1
2094,11,2435,5,1
1057,8,780,4,1
8,6,467,4,0
229,7,1381,3,0
1190,4,798,0,0
388,-1,1073,3,0
1860,7,1582,3,1
2491,2,265,2,0
1672,5,1901,1,1
1229,5,590,1,0
2601,5,1012,1,1
1876,10,2394,5,1
282,9,1271,2,0
47,7,1382,3,0
898,8,1203,4,1
1860,7,2274,3,0
1229,5,515,1,1
372,6,629,4,1
1035,3,742,3,1
986,7,699,3,0
1106,9,298,2,0
2624,2,947,2,0
893,3,155,3,1
364,6,1375,4,0
2166,6,1808,4,0
1736,2,1818,2,1
40,5,1383,1,0
452,4,1076,0,0
1031,2,731,2,1
1224,1,464,1,0
2433,3,1573,3,1
59,8,446,4,1
2284,5,1725,1,1
204,4,1373,0,0
989,8,645,4,1
1520,2,1916,2,0
1872,7,2549,3,0
558,7,108,3,0
2636,9,1562,2,0
2613,3,1548,3,0
429,8,1057,4,1
2661,9,941,2,1
1675,9,1904,2,1
548,0,931,0,1
317,8,936,4,1
1605,7,2127,3,0
1521,9,1920,2,0
2163,9,1840,2,1
2128,5,1746,1,1
709,6,90,4,1
1896,11,2303,5,1
2393,0,1074,0,1
1786,1,2304,1,0
1086,3,815,3,1
1399,5,2335,1,0
1190,4,798,0,1
1112,5,745,1,0
104,4,1053,0,1
2608,1,1574,1,1
1019,-1,142,3,1
302,6,1311,4,0
89,2,21,2,1
1967,9,2447,2,1
860,4,329,0,0
1261,4,458,0,0
2574,4,1703,0,0
1980,1,2290,1,0
919,0,199,0,0
55,2,1456,2,0
2397,11,229,5,1
2347,8,1575,4,1
1187,1,744,1,1
1875,3,2307,3,0
569,1,6,1,0
932,1,1077,1,1
114,8,1499,4,1
773,5,716,1,1
860,4,192,0,0
1160,1,900,1,0
270,1,909,1,0
2169,5,1746,1,1
287,5,944,1,0
1966,5,2335,1,0
227,3,1376,3,1
1948,3,2040,3,0
90,6,629,4,1
431,-1,1078,0,0
558,7,11,3,0
2340,0,1576,0,0
1492,7,2473,3,0
1988,4,945,0,1
128,0,1234,0,1
260,1,909,1,0
2511,2,1577,2,0
429,8,1122,4,0
1599,5,1905,1,1
68,2,561,2,0
2529,8,1542,4,1
2623,9,1562,2,1
521,7,1616,3,1
1877,5,2585,1,1
10,11,456,5,1
2065,6,946,4,0
1966,5,2272,1,0
1732,9,2347,2,0
723,7,74,3,0
729,9,1072,2,0
1686,1,1922,1,0
2637,2,902,2,0
1990,8,936,4,1
836,9,193,2,1
482,4,1076,0,1
921,2,1578,2,0
2623,9,1562,2,0
83,8,23,4,0
753,1,388,1,1
2565,8,1898,4,0
384,2,1079,2,0
2533,3,1833,3,0
1370,4,2180,0,1
1108,10,2228,5,0
950,-1,1080,0,0
2100,4,2464,0,0
2441,3,301,3,0
432,-1,1081,2,0
481,4,1060,0,1
2573,1,2337,1,1
224,-1,1385,1,1
1361,7,2127,3,1
887,9,1082,2,1
312,2,948,2,0
544,0,949,0,1
2658,3,920,3,0
70,1,1431,1,0
1492,7,2473,3,0
1916,5,2448,1,0
1790,0,2497,0,0
1864,9,1964,2,1
1426,8,2077,4,1
2525,4,1747,0,1
1394,4,2316,0,0
2323,7,1748,3,1
1692,5,1924,1,0
1664,7,1925,3,0
1731,2,2106,2,0
1264,1,447,1,1
495,2,1061,2,0
888,-1,26,5,1
2203,7,1741,3,0
2494,4,386,0,0
1878,4,2512,0,0
1089,7,747,3,1
75,2,461,2,1
1195,4,748,0,0
1844,2,2302,2,0
1115,0,749,0,0
2661,9,1175,2,1
2283,0,1709,0,0
1400,0,2115,0,0
1675,9,1904,2,0
889,2,21,2,0
1197,0,630,0,1
524,6,950,4,0
99,1,1918,1,0
2570,5,1553,1,0
2637,2,1580,2,0
562,7,27,3,0
921,2,1578,2,0
569,1,6,1,1
2465,1,441,1,0
78,7,2207,3,0
280,3,1286,3,0
2165,0,1724,0,0
1402,3,1711,3,0
1051,1,750,1,1
80,7,1444,3,0
1384,11,2417,5,0
270,1,1480,1,1
2466,10,1581,5,1
1860,7,2274,3,1
769,2,303,2,1
483,5,1083,1,0
2209,10,1749,5,0
1786,1,2606,1,0
2442,3,1573,3,0
917,9,218,2,1
1495,1,587,1,0
1852,6,2380,4,1
1949,6,2475,4,1
421,0,1084,0,1
1067,11,751,5,0
2596,6,2289,4,0
2584,3,1548,3,1
748,3,383,3,0
2085,11,1006,5,1
1401,7,1582,3,0
2411,1,1574,1,1
258,3,2282,3,0
109,2,1386,2,0
1866,8,2293,4,1
1367,6,2109,4,0
2534,6,368,4,0
1604,8,2246,4,1
2194,4,1760,0,1
1873,6,2466,4,0
1040,6,770,4,1
1086,3,1835,3,0
271,11,951,5,1
2182,0,1823,0,0
1872,7,2476,3,1
671,-1,28,3,0
390,1,1085,1,1
865,5,222,1,0
754,7,27,3,1
2402,5,1583,1,1
2169,5,2190,1,1
921,2,210,2,1
2198,6,1752,4,1
2442,3,1573,3,1
1367,6,2188,4,0
1056,4,304,0,1
267,2,1269,2,0
104,4,484,0,1
1699,9,2461,2,0
1385,3,1554,3,1
144,7,1387,3,1
2429,5,205,1,1
151,-1,1385,1,0
8,6,467,4,1
557,2,17,2,1
555,5,622,1,0
2615,1,2337,1,1
2071,7,2265,3,1
490,7,953,3,1
1391,5,2112,1,0
2177,4,1733,0,1
2303,5,1753,1,0
1198,5,752,1,0
26,5,2080,1,0
334,8,1384,4,1
2590,4,1676,0,0
1988,4,2512,0,1
1822,1,2276,1,0
2106,6,1002,4,1
2598,0,1689,0,1
2372,8,225,4,0
15,0,1390,0,1
2245,9,1706,2,0
357,3,1108,3,1
603,6,636,4,0
938,9,1169,2,1
1035,3,735,3,0
581,1,4,1,1
852,5,274,1,1
493,4,1019,0,1
2638,7,1018,3,1
2385,4,1683,0,1
131,7,2473,3,0
316,9,955,2,1
41,5,1358,1,0
847,8,177,4,0
2206,9,1886,2,1
794,-1,305,2,1
2600,4,2390,0,1
1664,7,1925,3,1
1510,0,1928,0,0
1685,3,1977,3,1
883,8,41,4,0
1804,10,2364,5,1
1265,23,514,5,0
2371,1,198,1,0
2169,5,761,1,0
1398,8,1586,4,1
1589,1,1922,1,0
1988,4,2515,0,0
194,8,1457,4,0
353,6,943,4,1
749,9,297,2,1
477,8,1204,4,1
886,4,192,0,1
2603,11,1697,5,0
1674,9,753,2,1
2492,2,283,2,0
1981,0,2326,0,1
1823,5,2305,1,1
1224,1,464,1,1
1197,0,630,0,1
2599,10,1048,5,0
279,3,963,3,0
1100,2,848,2,1
512,8,905,4,1
2456,7,1869,3,0
1365,2,2128,2,1
1591,7,1925,3,1
2282,9,1735,2,1
270,1,1431,1,0
2624,2,947,2,0
1214,2,873,2,0
1843,5,2306,1,1
1642,2,2129,2,0
1199,3,499,3,1
2575,5,1601,1,1
83,8,455,4,0
305,5,916,1,1
868,6,206,4,1
850,9,403,2,1
2434,7,1588,3,0
1875,3,2307,3,0
433,2,1131,2,1
2167,4,292,0,1
1753,-1,2139,0,0
2629,2,956,2,1
1387,9,2126,2,0
1678,2,1911,2,1
58,2,1366,2,0
2443,7,306,3,0
423,1,1418,1,1
13,9,611,2,0
1194,10,755,5,1
2061,-1,1236,3,0
1362,7,2148,3,0
883,8,1086,4,0
569,1,6,1,1
353,6,943,4,1
405,9,1377,2,0
838,5,196,1,1
1190,4,798,0,1
2121,1,1807,1,0
303,7,1232,3,0
1986,4,2388,0,0
843,5,196,1,1
1862,0,1955,0,0
2288,4,1793,0,1
1730,6,2403,4,1
485,9,1082,2,0
2272,9,1651,2,0
2437,7,1558,3,0
1980,1,2290,1,0
1994,9,2447,2,0
269,7,1174,3,0
2597,1,1853,1,0
2191,8,1771,4,0
525,8,1312,4,1
837,1,327,1,0
984,7,617,3,0
477,8,904,4,0
