Birch_base,DBSCAN_base,Birch_random_best,DBSCAN_random_best,Passed
2503,7,2052,3,0
1467,1,3524,1,0
2086,6,213,4,1
1349,2,3398,2,1
2527,3,1916,3,1
1910,10,214,5,1
1336,8,3399,4,1
1902,9,2764,2,1
60,2,1302,2,0
1308,1,2983,1,1
1553,7,980,3,1
635,5,1704,1,1
1636,6,183,4,0
1336,8,3399,4,1
2846,9,2470,2,0
2725,1,1918,1,0
2520,1,1919,1,0
1954,0,146,0,1
1033,8,3221,4,1
2611,4,2232,0,0
895,7,901,3,1
2718,3,2030,3,0
3037,2,2765,2,0
199,0,1130,0,0
1004,4,390,0,0
737,-1,2238,3,1
1699,8,86,4,1
2612,7,2239,3,0
55,4,1913,0,1
484,8,1680,4,1
1153,6,3252,4,0
350,9,1325,2,0
1958,1,77,1,0
1863,4,290,0,0
137,6,1019,4,0
1588,7,581,3,0
1336,8,3430,4,0
3093,7,3201,3,0
2613,0,2363,0,1
1039,1,3115,1,0
1027,4,677,0,1
1951,3,1908,3,0
1964,8,306,4,0
1983,9,70,2,1
346,8,1101,4,1
2539,3,2450,3,1
1824,3,2268,3,1
878,-1,1014,5,1
1343,2,3112,2,1
3048,10,2739,5,0
1827,9,2887,2,0
442,2,1678,2,0
554,5,2,1,0
679,4,1913,0,0
1730,8,204,4,1
3090,9,3455,2,1
3128,9,3045,2,1
1367,4,3439,0,0
98,8,76,4,0
1210,8,728,4,1
3081,3,2536,3,1
1031,2,216,2,0
1613,1,696,1,0
959,5,3267,1,0
1581,4,939,0,1
428,1,1784,1,1
1987,7,2894,3,0
1993,2,211,2,1
1966,3,217,3,1
400,9,1405,2,1
1635,5,779,1,1
1442,4,3660,0,1
1443,9,3404,2,1
1968,7,109,3,0
1993,2,105,2,1
1936,7,2824,3,1
2235,-1,1445,3,1
1706,8,461,4,0
291,4,2173,0,0
2060,11,209,5,0
1969,1,238,1,0
2766,9,2423,2,0
524,7,1672,3,1
1525,11,3508,5,0
3066,6,2787,4,0
678,2,1993,2,0
1843,9,2763,2,0
219,3,1297,3,1
2555,1,2240,1,1
1966,3,287,3,1
2954,3,2957,3,1
2549,9,2423,2,1
94,8,874,4,1
879,4,902,0,1
3116,2,3112,2,0
2762,0,2425,0,1
976,5,3117,1,1
2456,4,2911,0,0
1780,5,3118,1,0
660,5,2003,1,0
2549,9,2556,2,0
2223,6,1446,4,0
343,5,2022,1,1
2860,7,2310,3,0
1970,0,69,0,0
2551,-1,2241,0,0
1852,5,1351,1,0
2513,10,2242,5,0
1971,3,81,3,0
292,2,2055,2,0
2349,8,275,4,1
2413,3,2536,3,1
2646,2,2306,2,1
840,8,3519,4,0
1335,8,3113,4,1
2282,7,220,3,1
2426,4,2056,0,0
2427,-1,2769,0,1
2070,1,751,1,1
2199,9,1324,2,0
55,4,1186,0,0
3128,9,3402,2,1
2778,5,1804,1,0
411,7,1388,3,0
1466,3,3407,3,1
293,4,2127,0,0
347,0,1948,0,0
2769,6,2502,4,1
656,4,1765,0,1
2917,-1,2958,1,1
1296,5,3253,1,0
1779,7,2840,3,1
2943,0,2588,0,1
2035,2,304,2,0
2459,8,2682,4,1
992,9,3455,2,0
589,3,1706,3,1
189,3,1018,3,0
1453,0,3408,0,1
406,2,1923,2,0
2546,5,1917,1,0
1831,0,2771,0,1
1646,8,655,4,1
1006,2,3236,2,1
2770,0,2425,0,0
1737,8,264,4,1
2516,6,2429,4,0
2515,10,2413,5,0
1871,5,2869,1,0
156,7,178,3,1
3126,2,2592,2,1
2244,6,1400,4,1
3129,1,2430,1,1
661,10,1925,5,0
1708,8,219,4,1
636,1,1681,1,0
1525,11,898,5,1
857,8,1675,4,1
1081,9,3316,2,0
2549,9,2861,2,0
1868,3,1326,3,0
1963,7,1967,3,1
3055,5,2416,1,1
1972,1,120,1,0
1981,8,86,4,0
2053,9,222,2,1
1973,9,280,2,0
3089,1,3476,1,1
1354,6,3119,4,0
2077,5,328,1,1
1968,7,294,3,1
1987,7,163,3,0
1557,0,60,0,1
419,1,1912,1,0
958,6,3252,4,1
1913,2,322,2,1
1710,0,2772,0,0
670,0,187,0,0
271,2,2209,2,1
1853,7,1920,3,0
63,6,75,4,1
387,3,1373,3,0
1819,9,2773,2,0
55,4,145,0,0
1366,4,3409,0,0
24,-1,3,7,1
843,11,87,5,0
671,6,1927,4,1
1963,7,1967,3,0
3055,5,2774,1,1
1995,6,85,4,0
1976,4,62,0,0
704,0,3585,0,1
64,4,124,0,0
1969,1,120,1,0
429,5,850,1,1
2758,9,1564,2,1
2428,2,2116,2,1
1334,3,3254,3,1
662,5,1644,1,1
1063,2,3112,2,0
336,4,2053,0,1
2542,9,1929,2,1
2766,9,2458,2,1
1278,5,3253,1,0
1903,6,2057,4,0
3066,6,2784,4,1
2786,2,2424,2,1
1968,7,79,3,0
339,2,1907,2,1
2770,0,2425,0,0
2804,4,3439,0,1
1922,9,2775,2,1
1413,7,3411,3,0
2763,4,2418,0,0
2787,7,2431,3,0
2429,4,2864,0,0
1990,5,167,1,0
2028,2,89,2,0
1966,3,90,3,0
577,3,1613,3,0
1951,3,2833,3,1
2355,9,2236,2,1
434,5,1809,1,1
1712,10,2776,5,0
669,0,60,0,0
3118,8,3015,4,1
588,7,1926,3,1
342,6,1019,4,0
2509,1,2023,1,0
1537,0,787,0,1
1658,9,864,2,0
672,4,92,0,0
1398,10,3673,5,0
1047,6,3121,4,0
1970,0,69,0,1
2522,4,1931,0,0
1713,8,3162,4,1
1958,1,77,1,1
188,3,1298,3,1
75,2,808,2,1
101,7,1132,3,1
2779,1,2420,1,1
60,2,73,2,0
25,-1,4,-1,1
2249,8,1234,4,0
3042,9,2778,2,0
2512,2,2765,2,0
740,5,2432,1,0
2590,0,2243,0,1
1593,2,3412,2,1
2766,9,2861,2,0
1981,8,1940,4,0
1559,7,71,3,1
106,6,1020,4,0
1971,3,81,3,1
2511,3,2433,3,1
3086,2,3390,2,0
254,5,2108,1,0
3114,7,3035,3,0
2048,0,94,0,1
341,1,1361,1,0
841,1,3397,1,0
568,0,1683,0,0
191,3,821,3,1
1001,3,162,3,0
342,6,1045,4,0
2806,8,2434,4,0
1076,3,3123,3,0
955,9,3124,2,0
1732,8,2900,4,0
3042,9,2846,2,0
430,10,96,5,1
1485,0,3464,0,0
1524,2,3463,2,0
671,6,1927,4,0
902,2,922,2,1
945,10,837,5,1
1485,0,3464,0,1
3131,8,2477,4,0
1707,6,166,4,1
1824,3,2790,3,1
3109,7,2507,3,0
2240,5,1356,1,1
1941,3,2865,3,0
1854,3,1447,3,0
583,7,2006,3,1
1996,7,574,3,1
2236,10,226,5,1
1523,3,908,3,0
354,7,1966,3,1
1812,5,253,1,0
2133,12,384,4,1
1343,2,3112,2,0
1741,-1,3125,2,1
1738,10,361,5,1
2825,1,2445,1,0
3126,2,2635,2,1
3180,8,3017,4,0
688,0,2042,0,1
1709,2,276,2,1
65,3,95,3,0
1557,0,937,0,1
362,1,1536,1,1
3128,9,2544,2,0
3083,5,3413,1,1
1001,3,162,3,0
1966,3,217,3,1
1961,5,2762,1,1
2406,7,2648,3,0
1987,7,79,3,1
3134,0,2419,0,0
1955,10,64,5,0
915,6,963,4,1
2773,2,2469,2,0
2458,10,2242,5,0
3107,5,2956,1,0
1727,3,2781,3,0
1977,5,401,1,0
3168,2,3009,2,1
1969,1,210,1,0
2647,2,2300,2,1
3081,3,3393,3,1
667,4,103,0,1
3118,8,3015,4,1
3103,4,3141,0,0
3116,2,2991,2,1
2134,-1,385,0,1
673,8,1962,4,0
3065,2,3099,2,0
1961,5,227,1,1
1005,8,3116,4,0
1729,6,2863,4,0
2350,1,228,1,0
2065,11,200,5,0
976,5,3117,1,1
956,2,3112,2,1
2611,4,1942,0,0
3132,7,3415,3,0
963,0,3327,0,1
276,0,2058,0,1
100,6,1169,4,0
1949,5,2762,1,0
1965,9,125,2,1
1962,1,229,1,0
2237,-1,98,1,1
395,4,1160,0,1
2535,0,2008,0,0
1485,0,3464,0,1
1315,1,3758,1,1
1824,3,2833,3,0
1707,6,2883,4,1
691,-1,3559,3,0
1742,2,2782,2,0
1726,1,2700,1,1
194,0,1133,0,0
1653,2,780,2,1
1566,2,627,2,0
67,8,93,4,1
1954,0,205,0,0
2786,2,2244,2,1
2034,3,165,3,0
1527,6,963,4,1
2774,6,3417,4,1
1817,11,2783,5,0
1008,5,2959,1,0
1346,3,3418,3,1
296,6,1327,4,0
2048,0,438,0,0
1474,0,3527,0,1
1971,3,90,3,1
1531,9,3553,2,0
840,8,3406,4,0
3066,6,2767,4,1
964,6,3256,4,0
1715,2,2791,2,1
2992,6,2784,4,1
605,4,1684,0,1
1699,8,204,4,1
864,1,934,1,0
965,9,3108,2,0
1335,8,3458,4,1
63,6,75,4,0
1968,7,79,3,0
1080,8,3146,4,1
957,0,69,0,0
80,4,806,0,1
1346,3,3765,3,0
343,5,2022,1,1
2507,1,2234,1,0
345,1,1975,1,1
3099,3,2839,3,1
2954,3,2646,3,0
1322,4,2968,0,0
954,9,3128,2,0
1529,2,585,2,1
3010,1,2700,1,0
1973,9,222,2,1
2904,6,2427,4,0
1714,1,2786,1,1
3150,4,2454,0,0
849,2,3398,2,0
961,3,3122,3,1
3020,2,2722,2,0
1533,0,3482,0,0
1979,5,97,1,1
2770,0,2463,0,0
1730,8,2777,4,1
3107,5,2956,1,0
1970,0,69,0,0
73,2,1211,2,1
2883,-1,2437,4,0
3110,6,2767,4,1
88,9,1759,2,1
844,5,91,1,1
348,11,1938,5,1
3089,1,2785,1,0
663,7,74,3,1
1978,10,2438,5,1
353,4,1153,0,0
1960,2,1907,2,1
1717,6,252,4,0
682,1,1979,1,0
861,7,3538,3,0
1121,1,3115,1,1
2533,1,2072,1,1
1536,3,111,3,0
1855,1,2118,1,1
2270,2,230,2,1
889,1,100,1,1
596,7,1932,3,0
193,5,1356,1,1
1774,2,2782,2,1
3133,10,3419,5,1
664,0,2245,0,0
2387,8,2428,4,0
1009,1,3195,1,1
611,5,1802,1,0
2252,1,1369,1,1
2548,9,1933,2,1
680,6,1685,4,1
909,7,84,3,1
2872,4,3420,0,1
845,9,903,2,0
1781,3,513,3,1
3201,4,3447,0,0
94,8,80,4,0
77,7,74,3,0
960,6,3119,4,0
1743,1,228,1,0
2236,-1,102,5,0
1567,5,586,1,0
26,-1,5,8,1
3123,7,3131,3,0
1718,10,2589,5,1
606,7,157,3,1
3066,6,2767,4,1
1949,5,167,1,1
704,0,974,0,1
82,10,179,5,0
581,7,1774,3,0
411,7,1129,3,0
849,2,3398,2,1
871,2,3500,2,0
2379,4,2246,0,1
1009,1,3195,1,0
1708,8,1940,4,0
2166,2,403,2,1
3089,1,3498,1,0
1929,3,281,3,1
2336,6,1344,4,0
437,6,1717,4,1
2238,11,1176,5,0
1079,8,3120,4,1
1349,2,3457,2,0
3162,9,3028,2,0
2337,10,1486,5,1
878,11,67,5,0
870,5,91,1,0
297,8,1941,4,0
692,6,3597,4,0
2295,-1,102,5,1
667,4,103,0,0
1711,6,2885,4,0
2283,4,293,0,1
1971,3,90,3,0
867,5,957,1,0
3110,6,3135,4,0
942,6,904,4,0
194,0,168,0,0
2330,0,235,0,0
2243,7,1132,3,1
2456,4,2632,0,0
3085,8,2480,4,0
665,6,166,4,1
2632,4,2029,0,1
90,2,82,2,0
1300,1,3676,1,0
134,0,1051,0,0
680,6,1685,4,1
1194,0,3257,0,0
656,4,1922,0,1
1298,0,3675,0,0
91,5,68,1,0
27,-1,6,6,1
842,0,3410,0,1
3127,2,3390,2,1
2513,10,2247,5,1
116,8,1157,4,1
671,6,1959,4,1
2807,2,2248,2,1
1597,7,616,3,0
2761,2,1539,2,0
1376,-1,3677,4,0
1001,3,162,3,0
2529,3,1943,3,1
1743,1,349,1,0
198,7,1134,3,0
394,2,1211,2,1
2526,5,1944,1,1
2803,4,2539,0,1
103,5,1091,1,1
1528,7,79,3,0
1009,1,3130,1,1
580,8,1945,4,0
1830,0,2772,0,0
2531,4,1946,0,1
1335,8,3458,4,1
1291,-1,3132,5,1
582,2,1566,2,1
690,5,1803,1,1
1328,1,2960,1,0
1787,3,2780,3,1
603,2,1894,2,0
1654,-1,657,3,1
2884,9,3425,2,1
2081,4,534,0,0
2316,9,346,2,0
1299,7,3678,3,1
1948,1,3106,1,1
1519,4,927,0,0
2986,8,2693,4,0
2788,3,3393,3,0
3041,0,2634,0,1
194,0,1133,0,0
2319,2,1328,2,1
201,9,1138,2,1
359,5,1348,1,0
1056,4,3127,0,1
1354,6,3533,4,1
83,2,105,2,1
2970,3,2962,3,0
1979,5,254,1,0
1078,7,3217,3,0
2707,6,2059,4,0
69,1,158,1,0
339,2,1907,2,0
2521,5,1917,1,0
69,1,194,1,1
1716,6,2784,4,1
1004,4,390,0,1
83,2,143,2,0
659,3,1687,3,0
1976,4,62,0,0
1468,7,3647,3,1
2324,1,238,1,1
1730,8,2761,4,1
2517,7,2439,3,1
192,0,116,0,0
2436,1,2687,1,1
2585,8,2440,4,0
3162,9,3402,2,0
1956,11,336,5,0
3126,2,3093,2,1
102,1,1145,1,0
2847,3,3427,3,0
104,8,93,4,0
679,4,92,0,0
2611,4,1942,0,0
967,0,3190,0,0
850,1,106,1,0
1569,1,905,1,1
427,8,1680,4,1
2523,1,1939,1,1
1921,6,2912,4,1
1528,7,3424,3,1
2524,11,1938,5,1
1960,2,105,2,0
1350,1,3428,1,1
2416,7,2441,3,1
1934,11,237,5,1
2525,7,2060,3,1
2468,1,1939,1,1
1519,4,62,0,0
887,0,906,0,0
1731,9,2861,2,0
733,1,3560,1,1
1902,9,2775,2,0
3090,9,2965,2,0
1041,7,79,3,0
2987,9,2590,2,0
894,7,1781,3,0
2523,1,2007,1,1
365,6,1968,4,0
60,2,1936,2,0
1877,7,1329,3,0
1657,-1,782,4,0
2882,6,2442,4,1
3115,9,2963,2,0
3046,4,2768,0,0
678,2,72,2,1
1976,4,62,0,0
2762,0,2425,0,1
438,3,1692,3,1
758,5,1804,1,1
2534,5,2416,1,0
2796,3,2501,3,1
1338,3,3254,3,1
741,4,3635,0,1
1,-1,7,-1,0
439,0,985,0,0
3087,1,2955,1,1
2018,9,783,2,0
1827,9,2887,2,0
2544,5,1909,1,0
2512,2,2765,2,0
1720,7,282,3,1
2622,8,2360,4,1
1730,8,1940,4,1
122,9,108,2,0
1824,3,2790,3,1
85,8,1270,4,0
2511,3,2433,3,1
1948,1,169,1,1
2217,0,1330,0,1
773,1,3397,1,0
342,6,1019,4,1
1971,3,90,3,0
3046,4,2768,0,1
1642,2,585,2,1
54,7,109,3,1
2345,7,294,3,0
756,1,2249,1,1
2689,8,2291,4,0
666,9,1929,2,0
2707,-1,2059,4,0
1980,3,893,3,0
667,4,103,0,0
1505,8,3794,4,0
1954,0,2842,0,1
1736,2,2791,2,1
440,2,1726,2,1
431,4,1688,0,1
1852,5,2054,1,0
588,7,1966,3,1
848,4,3409,0,0
3135,0,3429,0,1
1986,1,238,1,1
1243,7,587,3,0
675,3,1949,3,1
1442,4,3421,0,0
3055,5,2636,1,1
2314,4,239,0,0
1699,8,86,4,0
66,9,125,2,0
1195,6,718,4,1
1845,9,2231,2,0
54,7,157,3,1
999,3,3123,3,0
656,4,1765,0,1
981,2,3173,2,0
659,3,1687,3,0
1014,8,3138,4,0
1549,11,188,5,0
672,4,2421,0,1
406,2,1332,2,0
2772,0,2435,0,1
674,8,148,4,1
1506,9,907,2,0
79,7,809,3,1
1602,9,912,2,0
1979,5,97,1,1
1333,7,3035,3,0
1856,4,2061,0,1
1993,2,276,2,0
1818,11,2793,5,1
226,0,1137,0,0
956,2,3112,2,1
2293,4,422,0,1
2018,9,783,2,1
2550,1,1930,1,0
3058,4,2812,0,0
2039,8,897,4,0
2133,6,384,4,1
2616,10,1950,5,1
2770,0,2425,0,0
694,3,1827,3,1
1395,6,3256,4,1
2617,0,2062,0,1
820,4,2250,0,0
3056,7,2919,3,1
1842,6,2877,4,1
441,6,1689,4,0
2103,3,468,3,0
2418,3,1951,3,0
2044,0,147,0,0
2457,2,2116,2,1
638,2,1900,2,0
1968,7,109,3,0
2351,3,2794,3,0
1954,0,205,0,0
1252,4,589,0,1
1963,7,109,3,0
1015,3,488,3,1
1995,6,112,4,0
1524,2,3412,2,1
650,-1,1600,2,0
1745,7,2770,3,0
1713,8,2828,4,1
2382,7,2779,3,1
1670,-1,785,1,1
560,9,1144,2,1
2638,9,2281,2,1
3110,6,3135,4,1
582,2,1543,2,0
778,4,3544,0,0
1016,8,365,4,0
1976,4,62,0,1
3129,1,2513,1,1
1842,6,2877,4,0
1933,7,220,3,1
2511,3,2299,3,1
3124,1,3106,1,1
1017,1,590,1,1
1984,7,157,3,1
1867,7,2915,3,1
128,4,1173,0,0
2539,3,1916,3,1
2782,7,2439,3,0
3163,8,3394,4,0
1336,8,3430,4,1
1095,8,243,4,0
470,8,0,4,1
2696,5,2064,1,1
1113,8,243,4,1
1958,1,169,1,1
1714,1,2786,1,1
2275,-1,244,2,0
2509,1,2420,1,1
1048,1,2953,1,0
2332,10,245,5,0
54,7,1926,3,0
196,3,115,3,0
1981,8,86,4,0
2611,4,1942,0,1
1818,11,321,5,0
54,7,109,3,0
299,1,2065,1,1
1830,0,255,0,0
2066,6,786,4,0
2035,2,246,2,0
201,9,1032,2,1
369,8,2048,4,0
1576,6,714,4,1
629,7,1888,3,1
70,0,116,0,0
2779,1,2420,1,1
1532,6,591,4,1
2546,5,1917,1,0
2469,7,2852,3,1
1938,3,233,3,0
1737,8,117,4,1
1700,4,2792,0,0
1358,8,3394,4,1
1903,6,247,4,0
1619,0,787,0,1
388,10,1022,5,0
751,3,1831,3,1
2520,1,1919,1,0
2738,7,1540,3,1
1727,3,242,3,0
1097,6,3136,4,1
1964,8,117,4,1
1966,3,90,3,1
1816,3,2790,3,1
841,1,3397,1,0
968,4,3145,0,0
2135,7,203,3,1
2364,3,2443,3,0
1528,7,616,3,1
1076,3,3123,3,1
2032,8,363,4,1
3128,9,3402,2,0
989,9,2861,2,0
300,9,2066,2,0
488,2,1075,2,0
1722,11,2795,5,0
2508,9,1953,2,0
470,8,1021,4,1
2555,1,1954,1,1
2900,6,2442,4,1
888,0,937,0,0
1484,0,3422,0,0
3082,3,3046,3,0
435,7,1697,3,0
1705,7,2840,3,1
1745,7,2770,3,1
3091,7,3401,3,1
71,3,1985,3,1
95,4,88,0,0
584,1,1541,1,1
197,6,112,4,0
2548,9,1929,2,0
1300,-1,3679,1,0
766,0,1884,0,0
670,0,187,0,1
1958,1,1961,1,0
678,2,1956,2,1
1968,7,212,3,0
2793,5,2432,1,0
94,8,171,4,0
2697,3,2106,3,0
2042,1,120,1,1
1853,7,1920,3,1
1975,6,121,4,0
99,10,195,5,1
1982,11,240,5,0
1717,6,274,4,1
1938,3,233,3,0
1819,9,2775,2,0
427,8,1691,4,1
672,4,92,0,1
192,0,1240,0,0
771,2,3457,2,0
486,3,1140,3,0
1736,2,2831,2,0
1455,5,3431,1,1
585,2,1993,2,1
2774,6,3456,4,1
436,8,930,4,1
2780,9,3432,2,0
1713,8,3155,4,1
2988,1,2689,1,1
1354,6,3533,4,1
2900,6,2442,4,0
969,7,3137,3,0
2100,8,248,4,0
339,2,1923,2,0
351,9,1958,2,1
1124,7,3073,3,1
848,4,926,0,0
913,1,905,1,0
2779,1,2445,1,1
670,0,60,0,1
85,8,164,4,1
954,9,70,2,0
322,6,2122,4,0
876,7,935,3,0
2825,1,2240,1,1
668,0,1955,0,0
1482,9,3432,2,1
1336,8,3430,4,0
1484,0,3422,0,1
2048,0,94,0,1
257,6,2067,4,1
1342,8,3244,4,0
339,2,1907,2,0
2212,9,1392,2,1
907,8,874,4,0
2548,9,1933,2,0
1371,2,3433,2,0
2334,5,227,1,1
351,9,1937,2,0
843,11,87,5,1
904,9,122,2,1
2318,11,207,5,1
2776,8,2551,4,1
1857,-1,1448,1,1
2547,6,1984,4,0
132,7,1141,3,0
2618,4,2298,0,0
196,3,1140,3,0
1984,7,163,3,1
1593,2,3526,2,0
1037,1,3195,1,1
2506,5,1969,1,1
662,5,1644,1,0
1979,5,150,1,1
973,2,3386,2,1
1712,10,2924,5,1
2239,9,244,2,0
498,7,1023,3,0
853,8,123,4,1
1698,7,2796,3,0
2717,5,2020,1,1
382,6,1717,4,1
2775,3,2433,3,1
583,7,1700,3,0
2848,9,3640,2,0
1993,2,105,2,0
438,3,1724,3,1
1535,6,3435,4,1
100,6,1146,4,0
2774,6,3417,4,0
3126,2,3093,2,1
994,1,3161,1,1
343,5,1175,1,0
187,4,124,0,0
2614,2,2049,2,1
2125,7,647,3,1
2520,1,1919,1,0
1536,3,949,3,1
2067,7,592,3,1
369,8,1677,4,1
3083,5,3050,1,1
417,4,1153,0,0
2068,-1,593,2,0
632,8,2373,4,1
325,2,2088,2,0
1963,7,212,3,0
581,7,1686,3,0
954,9,198,2,0
1604,7,3437,3,1
961,3,3122,3,0
94,8,171,4,1
66,9,125,2,1
1845,9,2556,2,1
2044,0,116,0,1
3170,-1,2593,0,0
67,8,118,4,1
2768,7,2441,3,0
1844,9,2129,2,0
2780,9,3474,2,1
2790,5,3438,1,1
445,6,1226,4,1
1722,11,2793,5,1
1557,0,787,0,1
1751,1,2798,1,0
1016,8,248,4,0
1573,3,908,3,1
2418,3,2312,3,1
2534,5,2762,1,0
2618,4,2298,0,1
2821,5,1885,1,0
1005,8,3116,4,0
2094,2,516,2,1
55,4,1913,0,1
1365,1,3130,1,1
1555,2,622,2,0
618,3,1806,3,1
100,6,85,4,0
339,2,1907,2,1
1922,9,249,2,1
1196,-1,594,3,1
1579,0,595,0,0
667,4,3439,0,0
1117,2,3140,2,0
2531,4,1946,0,0
1976,4,62,0,0
2350,1,228,1,0
887,0,974,0,0
60,2,1936,2,0
1556,11,996,5,1
1526,8,655,4,1
2555,1,2251,1,1
1824,3,2790,3,0
425,1,1681,1,0
72,1,788,1,1
1010,7,3165,3,0
125,8,1143,4,1
635,5,1809,1,1
667,4,103,0,0
742,1,3591,1,0
1986,1,1961,1,0
2764,5,2448,1,1
1746,-1,2594,5,0
212,5,1273,1,0
1961,5,2762,1,0
1782,19,388,3,1
1250,-1,596,5,1
71,3,1949,3,1
1816,3,2857,3,0
671,6,1959,4,1
181,-1,126,0,0
581,7,1774,3,0
1537,0,787,0,0
298,7,1329,3,0
2339,4,290,0,1
2218,0,1323,0,1
1969,1,77,1,0
1343,2,3440,2,0
56,8,93,4,0
2376,5,2320,1,1
408,2,1907,2,0
1336,8,3430,4,1
1538,9,70,2,1
1528,7,71,3,1
1953,5,2034,1,1
348,11,1938,5,1
2315,6,1476,4,0
1961,5,227,1,0
1703,9,2775,2,0
481,7,1693,3,0
560,9,1144,2,0
2354,1,2343,1,0
59,2,149,2,0
1964,8,306,4,1
710,9,3441,2,1
2036,4,895,0,1
1523,3,659,3,1
837,2,63,2,0
1538,9,198,2,0
673,8,1962,4,0
742,1,3591,1,1
1336,8,3794,4,0
73,2,1139,2,0
1000,3,3442,3,0
1361,4,704,0,0
3207,5,3413,1,1
3080,4,2604,0,1
2573,10,2252,5,0
898,4,836,0,0
2283,4,241,0,0
854,3,3445,3,0
74,2,790,2,0
64,4,88,0,1
1948,1,2799,1,1
2852,7,3415,3,0
253,5,1331,1,1
2368,7,2642,3,1
2849,5,3443,1,0
68,9,113,2,1
2251,2,128,2,0
2069,0,317,0,1
1971,3,90,3,0
355,1,1961,1,0
298,7,1368,3,0
1852,5,2054,1,0
1830,0,2830,0,0
1819,9,2887,2,1
2435,8,2107,4,1
1344,4,3197,0,1
1700,4,2792,0,0
2422,7,2716,3,1
2506,5,2801,1,0
2353,7,2253,3,0
2512,2,2635,2,0
2725,1,1589,1,1
2055,2,818,2,0
430,10,1694,5,1
2416,7,2449,3,0
1442,4,3421,0,0
2322,4,1403,0,0
2575,7,2354,3,1
1076,3,3242,3,1
582,2,1625,2,1
2686,4,2254,0,0
998,2,216,2,0
2613,0,2276,0,0
966,4,3197,0,0
839,9,796,2,1
2947,0,2602,0,0
1831,0,2771,0,0
1845,9,2231,2,0
60,2,110,2,0
658,0,1935,0,1
2066,6,786,4,0
2523,1,1965,1,0
3119,5,3459,1,0
1960,2,72,2,0
435,7,1697,3,0
837,2,63,2,0
608,1,1681,1,1
773,1,3567,1,0
2518,7,2009,3,0
1141,-1,3258,0,1
2274,3,1131,3,0
3134,0,2419,0,0
3081,3,2450,3,0
2507,1,2255,1,1
354,7,1966,3,0
1957,11,2759,5,0
355,1,1248,1,1
1348,10,3444,5,1
1698,7,2796,3,1
617,2,1807,2,1
1997,5,130,1,0
2783,10,2568,5,0
1821,1,2798,1,0
